timestamp,gyro_x_dps,gyro_y_dps,gyro_z_dps
0.1474640369415283,0.00933,0.03248,-0.0429
0.3582005500793457,0.02603,-0.05492,-0.04846
0.5475890636444092,-0.05052,-0.01314,0.05278
0.755669116973877,0.02392,0.01182,0.0547
0.9829938411712646,0.03395,0.02712,-0.0289
1.1837539672851562,0.01004,-0.00368,0.02805
1.3758599758148191,-0.03586,-0.05591,0.05245
1.571606159210205,-0.02316,0.00143,0.01026
1.7793171405792236,0.00403,0.00687,0.02907
2.0031368732452397,-0.00268,0.00605,0.02383
2.1949617862701416,-0.00357,0.00359,0.01357
2.4030871391296387,-0.0014,0.0061,0.01074
2.601163625717163,0.00387,0.00664,0.01035
2.811187028884888,-0.00627,0.00785,0.01047
2.9932217597961426,0.01217,-0.00173,0.46089
3.2005903720855717,-0.00202,0.00145,0.5001
3.39658522605896,-0.01365,-0.00511,0.49074
3.595911026000977,-0.00714,0.00078,0.50088
3.7876734733581534,0.00086,-0.00598,0.53235
3.9924514293670654,-0.00065,-1e-05,0.53658
4.216601371765137,-0.02068,0.00651,0.55454
4.42113471031189,0.02041,0.01553,0.54718
4.621356725692749,0.0089,0.00076,0.54562
4.811816692352295,0.0047,0.00249,0.53768
5.034502267837524,0.00033,0.00728,0.52443
5.253140211105347,-0.01644,-0.0042,0.54517
5.43999981880188,-0.00996,-0.0004,0.48995
5.648475408554077,-0.00938,0.00172,0.53045
5.861688137054443,0.00681,0.00656,0.52122
6.083627700805664,-0.01191,0.01651,0.47589
6.273793458938599,-0.00247,0.00631,0.00103
6.4758124351501465,0.00084,0.00694,0.0056
6.679582118988037,0.00039,0.00362,0.00875
6.880129098892212,0.00177,0.00359,0.00833
7.085677146911621,0.00061,0.00292,0.00915
7.269980430603027,0.00177,-0.01772,0.01336
7.48269510269165,0.02337,0.04325,0.00826
7.677657604217529,-0.01718,-0.00261,0.0159
7.879898548126221,0.01264,0.01863,0.04037
8.091384649276733,0.01171,0.00987,-0.02056
8.302422046661377,0.01325,-0.00503,0.00328
8.49290132522583,-0.00678,0.00079,0.01337
8.72516942024231,0.01622,0.00455,0.03067
8.914597511291504,-0.01871,0.0076,0.00919
9.116600513458252,-0.01111,0.00213,0.02015
9.309271812438965,0.00163,0.00304,-0.00728
9.530606031417848,0.00067,0.0065,0.00829
9.740386724472046,0.0116,0.0067,0.12544
9.93407416343689,-0.01125,0.00631,0.50934
10.131372451782228,-0.00512,0.00374,0.49038
10.350154638290403,0.00058,-0.01999,0.44117
10.557354927062988,-0.01194,-0.00376,0.52851
10.749952793121338,0.00207,0.01209,0.50706
10.963115692138672,-0.00447,-0.00676,0.6017
11.183990716934204,-0.00109,-0.00228,0.529
11.38294243812561,0.00423,-0.02619,0.5168
11.570886850357056,-0.01198,-0.0041,0.53366
11.777257442474363,0.0079,0.0015,0.49021
11.967844247817991,0.01963,0.00323,0.47028
12.20096230506897,-0.00873,0.0051,0.52278
12.405645847320557,-0.00326,0.01088,0.50311
12.610750436782835,-0.00275,-0.01349,0.52992
12.815908908843994,0.00271,0.00388,0.53484
13.019002914428713,0.00265,0.00716,-0.01647
13.211711168289185,-0.00046,0.00545,0.00942
13.421117067337036,0.00135,0.00567,0.00925
13.62091612815857,0.00175,0.00398,0.01082
13.835190773010254,-0.00198,0.00697,0.00977
14.030796766281128,-3e-05,0.02786,0.05934
14.24266767501831,-0.01063,0.01263,0.00328
