timestamp,gyro_x_dps,gyro_y_dps,gyro_z_dps
14.43065881729126,0.01475,-0.00534,-0.00758
14.639791011810305,0.0012,0.00307,0.02571
14.861566543579102,-0.06455,0.04618,0.02707
15.057002782821655,0.02557,-1e-05,0.07906
15.253203630447388,-0.01166,-0.02826,0.03624
15.452073335647585,0.0092,0.02346,-0.02092
15.653248071670532,-0.0037,-0.00675,0.02057
15.860844135284424,0.00132,0.01075,0.01212
16.078343629837036,0.00548,0.00902,-0.00257
16.28131651878357,0.00152,0.00333,0.01512
16.476287364959717,-0.00038,0.00096,0.01285
16.676826238632202,0.00401,0.00929,0.00996
16.901049375534058,0.00029,-0.00581,0.45125
17.09109926223755,0.02443,0.01188,0.51093
17.29183578491211,0.00292,0.00745,0.47268
17.499894618988037,-0.01061,0.01276,0.51023
17.69028663635254,0.00138,-0.00279,0.50667
17.921688079833984,0.00956,0.0034,0.5464
18.09423041343689,-0.00025,0.00435,0.53871
18.29637742042541,-0.01266,-0.00377,0.55764
18.50301432609558,-0.00337,-0.00389,0.51521
18.711386919021606,-0.00217,0.00674,0.55565
18.91508173942566,0.01366,0.00452,0.53498
19.119423627853397,-0.00387,-0.00297,0.51495
19.32249689102173,-0.00319,-0.00071,0.50607
19.51543951034546,0.0017,0.00047,0.49787
19.739999532699585,0.00186,0.00229,0.36387
19.92726802825928,0.0002,0.00115,0.01271
20.14192914962769,0.00027,0.00656,0.00741
20.33890032768249,0.00204,0.0057,0.00886
20.54112315177917,4e-05,0.00394,0.00901
20.74881720542908,-0.00029,0.00536,0.01044
20.955565452575684,0.01548,-0.04482,-0.0491
21.159489393234253,0.02402,0.00329,-0.03303
21.351243257522583,0.0003,0.01275,0.04308
21.556509017944336,0.0165,-0.00796,0.02638
21.760289669036865,0.01811,-0.00922,0.02779
21.95290279388428,-0.02141,0.03075,0.04052
22.16119766235352,-0.00265,-0.01483,-0.0245
22.35209822654724,-0.0055,-0.00199,-0.00598
22.57372522354126,-0.03232,-0.05142,0.00783
22.78170919418335,-0.01286,0.01518,0.00959
22.97417950630188,0.00267,0.00622,0.01504
23.183045864105225,0.00317,0.00799,0.00992
23.38777089118957,0.00044,0.0042,0.00839
23.60204577445984,0.00088,0.00662,0.01265
23.802898168563843,-0.00237,0.00837,0.4156
23.998469591140747,0.00045,0.00284,0.51639
24.19238376617432,-0.00593,-0.00031,0.47422
24.39943528175354,-0.00413,0.00615,0.50111
24.60602617263794,-0.00719,-0.00154,0.49383
24.79465246200561,0.00106,0.00543,0.52604
25.0033495426178,-0.00803,-0.00523,0.52138
25.198102235794067,-0.00608,0.00769,0.53275
25.39890170097351,0.01405,0.00176,0.4974
25.624515533447266,-0.00222,0.00364,0.52547
25.823464155197144,0.00724,-0.00155,0.50454
26.019944190979004,-0.01237,0.00083,0.56183
26.22193741798401,0.00418,0.00959,0.5364
26.422017574310303,-0.00118,-0.00427,0.53594
26.63536787033081,0.00392,0.00232,0.51662
26.840632915496823,-0.01157,0.00812,0.35855
27.04247665405273,0.00297,0.00399,0.01246
27.234983921051025,0.00021,0.00649,0.01227
27.432371854782104,0.00192,0.00537,0.00727
27.648378133773804,-0.00029,0.00286,0.01062
