time_elapsed_sec,distance_traveled
0.016989469528198242,5.000000000000013e-05,1.99995
0.036614179611206055,9.000000000000024e-05,1.99991
0.2572519779205322,0.013810000000000001,1.98619
0.45784425735473633,0.07332,1.92668
0.6563568115234375,0.35422,1.64578
0.8569304943084717,0.49411,1.50589
1.016524314880371,0.57503,1.42497
1.0758931636810303,0.6615,1.3385
1.2778894901275635,0.81881,1.18119
1.6760191917419434,1.1743800000000002,0.8256199999999998
1.896918535232544,1.31454,0.68546
2.083982467651367,1.3499,0.6500999999999999
2.0964484214782715,1.37731,0.62269
2.2968201637268066,1.4719300000000002,0.5280699999999998
2.4965877532958984,1.4917,0.5083
2.7171432971954346,1.50954,0.4904599999999999
3.067929744720459,1.68653,0.3134699999999999
3.0775511264801025,1.7223000000000002,0.27769999999999984
3.097412347793579,1.7574,0.24259999999999993
3.1977505683898926,1.8047600000000001,0.19523999999999986
3.3015084266662598,1.8415400000000002,0.15845999999999982
3.4391117095947266,1.8370300000000002,0.16296999999999984
3.557436466217041,1.82024,0.17975999999999992
3.6829020977020264,1.8155100000000002,0.18448999999999982
3.789156436920166,1.83999,0.16000999999999999
3.8174569606781006,1.8826800000000001,0.11731999999999987
3.9187912940979004,1.91501,0.0849899999999999
4.037916898727417,1.8925800000000002,0.10741999999999985
4.177444219589233,1.8600100000000002,0.13998999999999984
4.2973809242248535,1.86396,0.13603999999999994
4.3176109790802,1.8947500000000002,0.10524999999999984
4.417396306991577,1.935,0.06499999999999995
4.561121940612793,1.9414500000000001,0.05854999999999988
4.757270097732544,1.90535,0.0946499999999999
4.957963228225708,1.9078400000000002,0.0921599999999998
5.057750701904297,1.9280400000000002,0.0719599999999998
5.15748929977417,1.95262,0.04737999999999998
5.25775408744812,1.9585100000000002,0.041489999999999805
5.337543249130249,1.9565100000000002,0.04348999999999981
5.5780370235443115,1.95503,0.044969999999999954
5.778364181518555,1.97442,0.025579999999999936
5.978217601776123,1.9788800000000002,0.021119999999999806
6.057003498077393,1.9778300000000002,0.0221699999999998
6.1981353759765625,1.97594,0.02405999999999997
6.397589683532715,1.98262,0.01737999999999995
