Time (s),X (m),Y (m),Error (m),Speed,P,I,D
0.08150362968444824,0.00081,0.01902,0.5996088478556878,0.8994132717835317,0.8994132717835317,0.0,-0.0
0.18288183212280273,0.00025,0.01909,0.5990491582676386,0.898573737401458,0.898573737401458,0.0,-0.0
0.282543420791626,-0.01676,0.02772,0.5800568182077182,0.8700852273115772,0.8700852273115772,0.0,-0.0
0.38959670066833496,-0.07532,0.05662,0.51475438251734,0.7721315737760099,0.7721315737760099,0.0,-0.0
0.5087094306945801,-0.16974,0.10795,0.4073249014532495,0.6109873521798743,0.6109873521798743,0.0,-0.0
0.6112949848175049,-0.24934,0.14947,0.31754705170595227,0.4763205775589284,0.4763205775589284,0.0,-0.0
0.7253451347351074,-0.32373,0.18874,0.233429132363195,0.35014369854479255,0.35014369854479255,0.0,-0.0
0.8214218616485596,-0.35805,0.20646,0.1948048981046291,0.29220734715694363,0.29220734715694363,0.0,-0.0
0.9201884269714355,-0.37951,0.21788,0.17049624797913576,0.25574437196870364,0.25574437196870364,0.0,-0.0
1.0170388221740723,-0.39352,0.2259,0.15436472211010943,0.23154708316516415,0.23154708316516415,0.0,-0.0
1.1183784008026123,-0.41199,0.23664,0.13301886098044602,0.19952829147066903,0.19952829147066903,0.0,-0.0
1.249171257019043,-0.44098,0.25228,0.10008062119977784,0.15012093179966676,0.15012093179966676,0.0,-0.0
1.348402976989746,-0.45993,0.26266,0.07847654990403352,0.11771482485605028,0.11771482485605028,0.0,-0.0
1.4657752513885498,-0.46844,0.26639,0.06920926421046114,0.10381389631569171,0.10381389631569171,0.0,-0.0
1.5707039833068848,-0.47347,0.26895,0.06356582985421222,0.09534874478131833,0.09534874478131833,0.0,-0.0
1.665323257446289,-0.4847,0.27667,0.05003011500628507,0.0750451725094276,0.0750451725094276,0.0,-0.0
1.7712070941925049,-0.49486,0.28206,0.03852891107377576,0.05779336661066364,0.05779336661066364,0.0,-0.0
1.8626759052276611,-0.50271,0.28645,0.029536987965039008,0.04430548194755851,0.04430548194755851,0.0,-0.0
1.9909300804138184,-0.50568,0.28833,0.026032184874447917,0.039048277311671875,0.039048277311671875,0.0,-0.0
2.06459641456604,-0.50647,0.28882,0.02510463404198504,0.03765695106297756,0.03765695106297756,0.0,-0.0
2.1909117698669434,-0.50874,0.29034,0.022386749026651942,0.03358012353997791,0.03358012353997791,0.0,-0.0
2.3093862533569336,-0.51517,0.29431,0.014845281570762703,0.022267922356144054,0.022267922356144054,0.0,-0.0
0.05348014831542969,-0.51936,0.29669,0.5996991678208701,0.8995487517313051,0.8995487517313051,0.0,-0.0
0.15242695808410645,-0.51945,0.29698,0.5993955994705495,0.8990933992058243,0.8990933992058243,0.0,-0.0
0.25284647941589355,-0.51446,0.30774,0.5876781494896262,0.8815172242344392,0.8815172242344392,0.0,-0.0
0.3491687774658203,-0.48116,0.37423,0.5133360322856148,0.7700040484284221,0.7700040484284221,0.0,-0.0
0.467055082321167,-0.43917,0.45356,0.4236002332767982,0.6354003499151972,0.6354003499151972,0.0,-0.0
0.5625317096710205,-0.39606,0.53211,0.33402561683500426,0.5010384252525064,0.5010384252525064,0.0,-0.0
0.6740357875823975,-0.35853,0.60193,0.2547621929741762,0.3821432894612643,0.3821432894612643,0.0,-0.0
0.7615635395050049,-0.33203,0.64931,0.2004902621962763,0.30073539329441445,0.30073539329441445,0.0,-0.0
0.8917107582092285,-0.31943,0.67281,0.17382572743066715,0.26073859114600073,0.26073859114600073,0.0,-0.0
0.9885685443878174,-0.30883,0.69202,0.15188797505534402,0.22783196258301602,0.22783196258301602,0.0,-0.0
1.1127598285675049,-0.29654,0.71456,0.12621640678470092,0.18932461017705138,0.18932461017705138,0.0,-0.0
1.2130913734436035,-0.28412,0.73724,0.10035999839884713,0.1505399975982707,0.1505399975982707,0.0,-0.0
1.3299758434295654,-0.27206,0.75837,0.07604006899382088,0.11406010349073131,0.11406010349073131,0.0,-0.0
1.429184913635254,-0.26745,0.76662,0.0665909662369788,0.0998864493554682,0.0998864493554682,0.0,-0.0
1.5274713039398193,-0.26504,0.77163,0.061036614880008666,0.091554922320013,0.091554922320013,0.0,-0.0
1.6298580169677734,-0.26112,0.77837,0.05324441795259194,0.07986662692888791,0.07986662692888791,0.0,-0.0
