Time (s),X (m),Y (m),Error (m),Speed,P,I,D
0.012532234191894531,-0.05747,-0.00392,0.5995035123365077,0.5995035123365077,0.5995035123365077,0.0,-0.0
0.11035561561584473,-0.05782,-0.00352,0.5989738421174108,0.5989738421174108,0.5989738421174108,0.0,-0.0
0.2117629051208496,-0.07018,0.0067,0.5829588439359297,0.5829588439359297,0.5829588439359297,0.0,-0.0
0.31278491020202637,-0.12719,0.0529,0.5095827842720204,0.5095827842720204,0.5095827842720204,0.0,-0.0
0.404494047164917,-0.18267,0.095,0.4399635063493329,0.4399635063493329,0.4399635063493329,0.0,-0.0
0.5318076610565186,-0.23109,0.1346,0.37741798163373574,0.37741798163373574,0.37741798163373574,0.0,-0.0
0.6329677104949951,-0.26413,0.16096,0.33515108514475656,0.33515108514475656,0.33515108514475656,0.0,-0.0
0.7322969436645508,-0.2853,0.17826,0.30781293628909573,0.30781293628909573,0.30781293628909573,0.0,-0.0
0.8234694004058838,-0.30811,0.19757,0.2779371856298837,0.2779371856298837,0.2779371856298837,0.0,-0.0
0.952338457107544,-0.33255,0.21785,0.24618213442506887,0.24618213442506887,0.24618213442506887,0.0,-0.0
1.0520544052124023,-0.36176,0.24178,0.20842239977240778,0.20842239977240778,0.20842239977240778,0.0,-0.0
1.1724092960357666,-0.3817,0.25739,0.18310181278878174,0.18310181278878174,0.18310181278878174,0.0,-0.0
1.2700695991516113,-0.39328,0.26677,0.16819946954641196,0.16819946954641196,0.16819946954641196,0.0,-0.0
1.3718774318695068,-0.40562,0.27638,0.15256110026060543,0.15256110026060543,0.15256110026060543,0.0,-0.0
1.4714257717132568,-0.41947,0.28762,0.13472416686442867,0.13472416686442867,0.13472416686442867,0.0,-0.0
1.592029094696045,-0.43157,0.29804,0.1187640897646976,0.1187640897646976,0.1187640897646976,0.0,-0.0
1.6874845027923584,-0.44044,0.30489,0.10755957629374091,0.10755957629374091,0.10755957629374091,0.0,-0.0
1.7921299934387207,-0.44768,0.31067,0.09829546533841249,0.09829546533841249,0.09829546533841249,0.0,-0.0
1.8879740238189697,-0.45568,0.31671,0.08827647923903281,0.08827647923903281,0.08827647923903281,0.0,-0.0
1.993544340133667,-0.46602,0.32507,0.07497968715486825,0.07497968715486825,0.07497968715486825,0.0,-0.0
2.1037092208862305,-0.47397,0.33155,0.06472348940010453,0.06472348940010453,0.06472348940010453,0.0,-0.0
2.2324771881103516,-0.47799,0.33464,0.059654461571116535,0.059654461571116535,0.059654461571116535,0.0,-0.0
2.3325355052948,-0.48228,0.33836,0.05397990494854499,0.05397990494854499,0.05397990494854499,0.0,-0.0
2.4474503993988037,-0.48809,0.34319,0.04642528923369338,0.04642528923369338,0.04642528923369338,0.0,-0.0
2.54402756690979,-0.49294,0.34702,0.04024569228991193,0.04024569228991193,0.04024569228991193,0.0,-0.0
2.664151191711426,-0.49631,0.34942,0.03611575930870348,0.03611575930870348,0.03611575930870348,0.0,-0.0
2.79146409034729,-0.49816,0.3513,0.033495597722312476,0.033495597722312476,0.033495597722312476,0.0,-0.0
2.8854362964630127,-0.50099,0.35431,0.029402865762541697,0.029402865762541697,0.029402865762541697,0.0,-0.0
3.0114452838897705,-0.50343,0.35657,0.026084546644716933,0.026084546644716933,0.026084546644716933,0.0,-0.0
3.113511562347412,-0.50583,0.35765,0.023538925858822557,0.023538925858822557,0.023538925858822557,0.0,-0.0
3.211909055709839,-0.50822,0.35953,0.02049835159854807,0.02049835159854807,0.02049835159854807,0.0,-0.0
3.3097481727600098,-0.51061,0.36119,0.017595873297587272,0.017595873297587272,0.017595873297587272,0.0,-0.0
0.07406139373779297,-0.5099,0.36367,0.5997719649149801,0.5997719649149801,0.5997719649149801,0.0,-0.0
0.1712968349456787,-0.50959,0.36436,0.5990562839410076,0.5990562839410076,0.5990562839410076,0.0,-0.0
0.28949952125549316,-0.49484,0.38296,0.5753902438045396,0.5753902438045396,0.5753902438045396,0.0,-0.0
0.39545178413391113,-0.45434,0.4342,0.5100788539886196,0.5100788539886196,0.5100788539886196,0.0,-0.0
0.508488655090332,-0.39934,0.49929,0.42489216008413555,0.42489216008413555,0.42489216008413555,0.0,-0.0
0.6099512577056885,-0.35244,0.55501,0.3520685707700615,0.3520685707700615,0.3520685707700615,0.0,-0.0
0.7233562469482422,-0.33021,0.58145,0.3175271041320955,0.3175271041320955,0.3175271041320955,0.0,-0.0
0.834397554397583,-0.31608,0.59813,0.2956685359677708,0.2956685359677708,0.2956685359677708,0.0,-0.0
0.9351234436035156,-0.30086,0.61705,0.2713883745209248,0.2713883745209248,0.2713883745209248,0.0,-0.0
1.0331463813781738,-0.27523,0.64734,0.23171290519487375,0.23171290519487375,0.23171290519487375,0.0,-0.0
1.1357676982879639,-0.25536,0.67094,0.20086321830730758,0.20086321830730758,0.20086321830730758,0.0,-0.0
1.2338814735412598,-0.24325,0.68627,0.1813318969637166,0.1813318969637166,0.1813318969637166,0.0,-0.0
1.3522651195526123,-0.23557,0.69546,0.16935551437409535,0.16935551437409535,0.16935551437409535,0.0,-0.0
1.4475393295288086,-0.2257,0.70698,0.15418793141055498,0.15418793141055498,0.15418793141055498,0.0,-0.0
1.5492405891418457,-0.20971,0.72556,0.1296791850236692,0.1296791850236692,0.1296791850236692,0.0,-0.0
1.6749260425567627,-0.19852,0.73834,0.11269859994044756,0.11269859994044756,0.11269859994044756,0.0,-0.0
1.7637429237365723,-0.1929,0.74536,0.10370753410917061,0.10370753410917061,0.10370753410917061,0.0,-0.0
1.8744230270385742,-0.1873,0.75149,0.09541393875771798,0.09541393875771798,0.09541393875771798,0.0,-0.0
1.9754059314727783,-0.18139,0.75915,0.08574530386198709,0.08574530386198709,0.08574530386198709,0.0,-0.0
2.0923092365264893,-0.17337,0.76816,0.07368997254469878,0.07368997254469878,0.07368997254469878,0.0,-0.0
2.194640874862671,-0.16759,0.77532,0.06448906696501522,0.06448906696501522,0.06448906696501522,0.0,-0.0
2.292006254196167,-0.16379,0.77976,0.05864557025918771,0.05864557025918771,0.05864557025918771,0.0,-0.0
2.414576768875122,-0.16056,0.78284,0.05421204621208431,0.05421204621208431,0.05421204621208431,0.0,-0.0
2.5103368759155273,-0.15657,0.78812,0.0476013198784776,0.0476013198784776,0.0476013198784776,0.0,-0.0
2.6151626110076904,-0.1516,0.79399,0.03991019541505669,0.03991019541505669,0.03991019541505669,0.0,-0.0
2.700575351715088,-0.14756,0.79876,0.03365947125426383,0.03365947125426383,0.03365947125426383,0.0,-0.0
2.829685926437378,-0.14579,0.80071,0.03102837496057853,0.03102837496057853,0.03102837496057853,0.0,-0.0
2.921511173248291,-0.14552,0.80052,0.03100154016025669,0.03100154016025669,0.03100154016025669,0.0,-0.0
3.02882719039917,-0.14435,0.80181,0.0292615049779803,0.0292615049779803,0.0292615049779803,0.0,-0.0
3.1225664615631104,-0.14168,0.80527,0.024894185388462553,0.024894185388462553,0.024894185388462553,0.0,-0.0
3.2361412048339844,-0.13734,0.80989,0.018566492537624768,0.018566492537624768,0.018566492537624768,0.0,-0.0
0.03391551971435547,-0.13086,0.81406,0.599740384900285,0.599740384900285,0.599740384900285,0.0,-0.0
0.12292885780334473,-0.13069,0.81418,0.599558978458576,0.599558978458576,0.599558978458576,0.0,-0.0
0.21749448776245117,-0.11921,0.80459,0.5850880316523941,0.5850880316523941,0.5850880316523941,0.0,-0.0
0.34690022468566895,-0.06127,0.75839,0.5109837542917024,0.5109837542917024,0.5109837542917024,0.0,-0.0
0.441434383392334,-0.00887,0.71318,0.4418069517962309,0.4418069517962309,0.4418069517962309,0.0,-0.0
0.5528578758239746,0.04118,0.6708,0.37622843746355966,0.37622843746355966,0.37622843746355966,0.0,-0.0
0.6606693267822266,0.08127,0.63673,0.3236195260153134,0.3236195260153134,0.3236195260153134,0.0,-0.0
0.7729990482330322,0.10077,0.62076,0.29841553007490584,0.29841553007490584,0.29841553007490584,0.0,-0.0
0.8702259063720703,0.11874,0.606,0.2751614170083855,0.2751614170083855,0.2751614170083855,0.0,-0.0
0.9711668491363525,0.14189,0.5867,0.24502154361144673,0.24502154361144673,0.24502154361144673,0.0,-0.0
1.068516731262207,0.17129,0.56207,0.2066681350309893,0.2066681350309893,0.2066681350309893,0.0,-0.0
1.1739606857299805,0.18921,0.54713,0.1833372562851341,0.1833372562851341,0.1833372562851341,0.0,-0.0
1.2712697982788086,0.20042,0.53715,0.16833626733300838,0.16833626733300838,0.16833626733300838,0.0,-0.0
1.3712775707244873,0.21031,0.52806,0.1549182096513046,0.1549182096513046,0.1549182096513046,0.0,-0.0
1.4919428825378418,0.22255,0.51757,0.1387991240251163,0.1387991240251163,0.1387991240251163,0.0,-0.0
1.5831868648529053,0.23593,0.5065,0.12143370814483806,0.12143370814483806,0.12143370814483806,0.0,-0.0
1.6894731521606445,0.24788,0.49594,0.10549180694350468,0.10549180694350468,0.10549180694350468,0.0,-0.0
1.7867512702941895,0.25469,0.49011,0.0965275832778919,0.0965275832778919,0.0965275832778919,0.0,-0.0
1.9049921035766602,0.26157,0.48421,0.08746472316532194,0.08746472316532194,0.08746472316532194,0.0,-0.0
2.0003416538238525,0.26967,0.4779,0.07720377956607216,0.07720377956607216,0.07720377956607216,0.0,-0.0
2.1129722595214844,0.27768,0.47139,0.06688313804570012,0.06688313804570012,0.06688313804570012,0.0,-0.0
2.2122206687927246,0.28487,0.46515,0.05736436202549311,0.05736436202549311,0.05736436202549311,0.0,-0.0
2.329747200012207,0.2875,0.46246,0.05362056462564402,0.05362056462564402,0.05362056462564402,0.0,-0.0
2.4329395294189453,0.2909,0.45924,0.04894606997136841,0.04894606997136841,0.04894606997136841,0.0,-0.0
2.5321431159973145,0.29685,0.45428,0.04119990220115377,0.04119990220115377,0.04119990220115377,0.0,-0.0
2.6540160179138184,0.30002,0.4509,0.036598215657777655,0.036598215657777655,0.036598215657777655,0.0,-0.0
2.7440836429595947,0.30197,0.44963,0.034288516644747524,0.034288516644747524,0.034288516644747524,0.0,-0.0
2.8618123531341553,0.30459,0.44746,0.030886660760793605,0.030886660760793605,0.030886660760793605,0.0,-0.0
2.959327220916748,0.30832,0.44424,0.02595945491629248,0.02595945491629248,0.02595945491629248,0.0,-0.0
3.065290927886963,0.31088,0.44195,0.02252624674362902,0.02252624674362902,0.02252624674362902,0.0,-0.0
3.162064790725708,0.31224,0.44124,0.0210284516489605,0.0210284516489605,0.0210284516489605,0.0,-0.0
3.26955246925354,0.31336,0.44036,0.019604870282322162,0.019604870282322162,0.019604870282322162,0.0,-0.0
0.018751859664916992,0.3148,0.44538,0.5997940873971802,0.5997940873971802,0.5997940873971802,0.0,-0.0
0.10647225379943848,0.31425,0.445,0.5993199264745632,0.5993199264745632,0.5993199264745632,0.0,-0.0
0.20883822441101074,0.30026,0.42655,0.576290253059132,0.576290253059132,0.576290253059132,0.0,-0.0
0.3253769874572754,0.25813,0.37694,0.5112179043950865,0.5112179043950865,0.5112179043950865,0.0,-0.0
0.4507427215576172,0.20403,0.31461,0.42869353485638667,0.42869353485638667,0.42869353485638667,0.0,-0.0
0.5559177398681641,0.16431,0.26744,0.3670279722799323,0.3670279722799323,0.3670279722799323,0.0,-0.0
0.6526086330413818,0.13723,0.23638,0.32582410518063404,0.32582410518063404,0.32582410518063404,0.0,-0.0
0.754481315612793,0.11824,0.21406,0.2965187729034957,0.2965187729034957,0.2965187729034957,0.0,-0.0
0.871757984161377,0.10218,0.19544,0.27193010500809434,0.27193010500809434,0.27193010500809434,0.0,-0.0
0.9680092334747314,0.08179,0.17095,0.24006481889095638,0.24006481889095638,0.24006481889095638,0.0,-0.0
1.0740463733673096,0.06239,0.14651,0.20887723640779993,0.20887723640779993,0.20887723640779993,0.0,-0.0
1.166278600692749,0.04759,0.1291,0.18602675678251857,0.18602675678251857,0.18602675678251857,0.0,-0.0
1.2773630619049072,0.03814,0.11801,0.17145666065145754,0.17145666065145754,0.17145666065145754,0.0,-0.0
1.3914339542388916,0.02636,0.10467,0.15366378983999063,0.15366378983999063,0.15366378983999063,0.0,-0.0
1.489198923110962,0.01423,0.09096,0.13536204793409307,0.13536204793409307,0.13536204793409307,0.0,-0.0
1.5958805084228516,0.00322,0.07845,0.11869969364231647,0.11869969364231647,0.11869969364231647,0.0,-0.0
1.696760654449463,-0.0042,0.06997,0.10743288487760372,0.10743288487760372,0.10743288487760372,0.0,-0.0
