Time,Distance
0.03574514389038086,109.8
0.06884407997131348,109.8
0.10100650787353516,109.8
0.13145995140075684,109.8
0.16264986991882324,109.7
0.19270801544189453,109.7
0.22379040718078613,109.7
0.2542109489440918,109.7
0.2853384017944336,109.7
0.31572937965393066,109.7
0.3472318649291992,109.7
0.3804478645324707,109.7
0.4119422435760498,106.2
0.4424753189086914,101.6
0.473158597946167,101.6
0.503911018371582,101.6
0.5343904495239258,98.1
0.5679380893707275,98.1
0.5994088649749756,98.1
0.6303045749664307,95.9
0.6619105339050293,95.9
0.6928994655609131,95.9
0.7244052886962891,95.9
0.7555890083312988,95.9
0.787461519241333,95.9
0.8186547756195068,93.6
0.8498950004577637,93.6
0.8803601264953613,93.6
0.9119110107421875,93.6
0.9431490898132324,93.6
0.9740424156188965,90.7
1.005810260772705,85.5
1.0362274646759033,84.2
1.067913293838501,84.2
1.09859299659729,84.2
1.1293601989746094,84.2
1.1605241298675537,84.2
1.1925244331359863,84.2
1.2237005233764648,81.8
1.254798173904419,77.8
1.285346508026123,77.8
1.317474603652954,77.8
1.348649263381958,77.8
1.3801209926605225,77.8
1.4127757549285889,76.1
1.4429278373718262,73.0
1.4745538234710693,71.5
1.5078058242797852,71.5
1.5403435230255127,70.2
1.5721817016601562,70.2
1.6027092933654785,70.2
1.6330771446228027,69.0
1.6646716594696045,67.5
1.6956830024719238,66.3
1.7265303134918213,66.3
1.7571582794189453,66.3
1.7886435985565186,66.3
1.819586992263794,66.3
1.8500440120697021,61.8
1.881706953048706,60.3
1.9122166633605957,58.8
1.9436416625976562,58.8
1.975597620010376,58.8
2.006789207458496,57.400000000000006
2.0378217697143555,56.099999999999994
2.069668769836426,54.7
2.100919485092163,54.7
2.1326982975006104,54.5
2.16347074508667,54.5
2.194291591644287,54.5
2.226309299468994,53.3
2.25783109664917,51.7
2.2878787517547607,49.7
2.3192975521087646,49.7
2.350691318511963,49.7
2.382533311843872,49.7
2.413149356842041,49.7
2.4455184936523438,49.7
2.476503610610962,49.7
2.507976770401001,49.7
2.540015697479248,46.5
2.5710086822509766,40.4
2.6020772457122803,40.4
2.632760763168335,39.0
2.6502456665039062,39.0
