timestamp,distance,error
0.01834702491760254,0.0,2.0
0.2801189422607422,0.01289,1.98711
0.6885349750518799,0.05496,1.94504
0.6895263195037842,0.16967,1.83033
0.6994976997375488,0.25544,1.7445599999999999
0.8927164077758789,0.35303,1.64697
0.8977437019348145,0.47137,1.52863
1.0990822315216064,0.6029,1.3971
1.5114784240722656,0.87166,1.1283400000000001
1.5126028060913086,1.15405,0.84595
1.711493968963623,1.51839,0.4816100000000001
1.720045804977417,1.63898,0.3610199999999999
1.737048625946045,1.7291,0.2708999999999999
1.919924020767212,1.81886,0.18114000000000008
1.9395153522491455,1.88291,0.11708999999999992
2.121729850769043,1.92854,0.07146000000000008
2.1392312049865723,1.97031,0.029689999999999994
2.3397536277770996,1.99562,0.0043800000000000505
3.750302314758301,2.16217,-0.16217000000000015
5.598275899887085,2.04002,-0.04002000000000017
