timestamp,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
0.1609647274017334,0.21532,-0.01243,-1.02432,0.00583,0.01632,0.00523
0.1621692180633545,0.21532,-0.01243,-1.02432,0.00583,0.01632,0.00523
0.3545393943786621,-0.18401,0.02641,-1.01248,0.00422,-0.02336,0.0265
0.5591292381286621,0.06067,0.00783,-1.01625,-0.02625,-0.00091,0.01564
0.7599115371704102,0.13246,0.02364,-1.00335,0.02612,0.03072,-0.02224
0.9801886081695557,0.00687,0.00995,-1.00336,0.02041,0.05328,0.01533
1.1766629219055176,-0.10499,-0.01406,-1.02267,-0.00116,0.03095,0.00444
1.3820114135742188,-0.02446,-0.00237,-1.01836,-0.00888,-0.01356,0.04182
1.6015934944152832,-0.06652,0.02142,-1.01302,0.01752,0.01959,0.01387
1.7864580154418945,-0.03621,0.02012,-1.00731,0.00573,0.02295,-0.00714
1.9997284412384033,-0.00799,0.01837,-1.01676,0.007,0.00611,-0.01041
2.1986615657806396,-0.01497,0.01097,-1.01707,0.00025,0.00562,0.01194
2.432126522064209,-0.01893,0.00326,-1.0149,0.00267,0.00357,0.00724
2.6188957691192627,-0.0161,0.00756,-1.0195,0.00138,0.00767,0.01053
2.7993829250335693,0.0002,0.00756,-1.01856,0.00292,0.00789,0.0113
3.0326318740844727,0.00808,0.01029,-1.01839,0.00068,0.0051,0.0076
3.2210302352905273,-0.0167,-0.00798,-1.0188,-0.0009,0.00136,0.43314
3.4283549785614014,0.0109,-0.00828,-1.02566,-0.00576,-0.00455,0.50063
3.628967761993408,-0.01321,0.00541,-1.01852,-0.00521,0.00025,0.53823
4.040399789810181,-0.00179,0.01351,-1.01484,0.00151,-0.0017,0.49729
4.040399789810181,0.00271,0.02161,-1.02585,0.00589,-0.02311,0.51725
4.24891471862793,0.01335,0.00028,-1.01568,0.00533,0.00089,0.51387
4.460305452346802,-0.00247,-0.00511,-1.01864,-0.00609,-0.00147,0.55475
4.659864664077759,0.01387,0.00034,-1.02188,-0.00905,0.00041,0.51337
4.8539698123931885,0.0048,0.03475,-1.02156,-0.01093,-0.00977,0.50134
5.080935716629028,0.00967,0.00239,-1.01613,0.0111,0.00662,0.51213
5.281103134155273,0.0088,0.03286,-1.01408,-0.00378,-0.00348,0.4932
5.479726791381836,-0.00213,-0.01646,-1.01478,0.0175,0.0175,0.54042
5.681049108505249,0.00417,0.04048,-1.01371,0.02287,-0.00157,0.50836
5.900486707687378,0.00844,0.00647,-1.02,-0.02661,-0.00354,0.5458
6.10158109664917,0.001,0.01194,-1.01895,-0.00047,-0.00468,0.56995
6.301332473754883,0.0024,-0.00123,-1.01538,0.00328,0.00582,-0.03146
6.501896858215332,-0.01134,0.0018,-1.01846,0.00051,0.00905,0.00755
6.721855163574219,-0.00128,0.00239,-1.01928,0.00171,0.00559,0.0089
6.922110080718994,-0.00619,0.00279,-1.01717,0.00228,0.00691,0.00941
7.12179160118103,-0.00512,0.00185,-1.01861,0.0014,0.00832,0.00856
7.5213000774383545,0.23782,0.01405,-1.02215,0.01338,0.02684,-0.04606
7.821362018585205,-0.17572,-0.02394,-1.03436,-0.00769,-0.01104,0.04935
7.939457416534424,-0.07889,0.03604,-1.02891,0.02339,-0.03412,-0.05346
8.142015933990479,0.087,-0.02196,-0.99741,0.0822,-0.01554,0.02551
8.34078311920166,0.09796,0.00163,-1.03897,0.02705,-0.0043,-0.02168
8.561236143112183,-0.0486,-0.04218,-0.992,-0.02142,0.04918,0.0577
8.761909484863281,-0.10421,-0.00739,-1.00256,0.00304,-0.0095,0.01665
8.961246490478516,0.04614,-0.0018,-1.01908,0.0148,-0.00245,0.01047
9.160577297210693,-0.0161,-0.00409,-1.02928,0.00051,0.00164,0.00163
9.380549907684326,-0.02133,0.00503,-1.01479,-0.00127,0.00796,0.00766
9.5803964138031,-0.02229,0.00282,-1.01922,0.01329,0.00567,0.01185
9.781839609146118,-0.02603,0.00154,-1.01929,0.00122,0.00678,0.00795
9.978249073028564,-0.02081,0.00083,-1.01915,0.00086,0.00692,0.00933
10.180220365524292,-0.00574,0.00154,-1.01718,-0.00091,0.00812,0.00761
