timestamp,pos_x_m,pos_y_m,pos_z_deg_from_start
0.2042393684387207,0.0,0.0,0.0
0.4153423309326172,0.06752,-0.00613,0.0
0.6080312728881836,0.12273,-0.0114,0.0
0.8162391185760498,0.18839,-0.01736,0.0
1.0078811645507812,0.26339,-0.02519,0.0
1.2170708179473877,0.33909,-0.03283,0.0
1.4354236125946045,0.41326,-0.04009,0.0
1.628624439239502,0.48918,-0.04674,0.0
1.8356103897094727,0.54534,-0.05295,0.0
2.055863380432129,0.5766,-0.05636,0.0
2.2457048892974854,0.59911,-0.05906,0.0
2.45625376701355,0.61329,-0.06014,0.0
2.6695516109466553,0.6156,-0.06138,0.0
2.8647477626800537,0.611,-0.06113,0.0
3.0755937099456787,0.61517,-0.06042,0.0
3.2670204639434814,0.61411,-0.06094,0.0
3.472655773162842,0.61525,-0.05937,0.0
3.6762542724609375,0.61605,-0.05868,0.0
3.8750903606414795,0.61475,-0.05882,0.0
4.070482969284058,0.61536,-0.05813,0.0
4.291841506958008,0.6159,-0.05778,0.0
4.484162092208862,0.6155,-0.05712,0.0
4.696429252624512,0.6128,-0.05533,0.0
4.8829264640808105,0.61241,-0.05404,0.0
5.107660293579102,0.61409,-0.05237,0.0
5.302366256713867,0.63484,0.02046,0.0
5.51150107383728,0.64322,0.07823,0.0
5.716976881027222,0.65004,0.14224,0.0
5.934462785720825,0.65857,0.22177,0.0
6.137201309204102,0.66623,0.29964,0.0
6.329805612564087,0.67232,0.37669,0.0
6.534323692321777,0.67664,0.44985,0.0
6.756665945053101,0.68117,0.49877,0.0
6.952525615692139,0.68439,0.53314,0.0
7.1572630405426025,0.68731,0.55783,0.0
7.34787917137146,0.6896,0.57918,0.0
7.545947551727295,0.68694,0.58474,0.0
7.7471818923950195,0.68868,0.5769,0.0
7.977662563323975,0.68766,0.58396,0.0
8.17671799659729,0.68818,0.57933,0.0
8.368041515350342,0.68683,0.58085,0.0
8.564038515090942,0.68673,0.58121,0.0
8.793435096740723,0.68656,0.57905,0.0
8.983714580535889,0.68567,0.58147,0.0
9.198493242263794,0.68711,0.58153,0.0
9.38810920715332,0.68488,0.58167,0.0
9.597218036651611,0.68301,0.58011,0.0
9.817298889160156,0.68313,0.57989,0.0
10.0134859085083,0.67241,0.58946,0.0
10.2109956741333,0.60458,0.60481,0.0
10.41730284690857,0.54535,0.61616,0.0
10.617072820663452,0.48458,0.62595,0.0
10.808243036270142,0.41559,0.63686,0.0
11.036577939987183,0.33841,0.64788,0.0
11.238320350646973,0.25427,0.65719,0.0
11.437233448028564,0.18177,0.66177,0.0
11.637521743774414,0.13588,0.66595,0.0
11.857692003250122,0.10271,0.66753,0.0
12.057518005371094,0.07984,0.67117,0.0
12.25086498260498,0.06455,0.67315,0.0
12.449461221694946,0.06198,0.67623,0.0
12.657064437866211,0.06665,0.6747,0.0
12.860491037368774,0.06192,0.67456,0.0
13.059635877609253,0.06494,0.67413,0.0
13.266644954681396,0.06453,0.67262,0.0
13.476737260818481,0.06457,0.67316,0.0
13.668177366256714,0.06527,0.67205,0.0
13.877089977264404,0.06394,0.67212,0.0
14.072736978530884,0.06564,0.67225,0.0
14.296753883361816,0.06456,0.67184,0.0
14.486595630645752,0.068,0.67151,0.0
14.697770595550537,0.06825,0.67297,0.0
14.886598110198975,0.06564,0.6726,0.0
15.110009670257568,0.04486,0.61042,0.0
15.33484935760498,0.033,0.55376,0.0
15.534526109695435,0.02377,0.49632,0.0
15.727394819259644,0.01254,0.4248,0.0
15.938303470611572,0.00238,0.35479,0.0
16.136733531951904,-0.00622,0.28434,0.0
16.337227821350098,-0.0133,0.21359,0.0
16.55605673789978,-0.01813,0.15728,0.0
16.752724170684814,-0.02149,0.11409,0.0
16.947394371032715,-0.02352,0.10438,0.0
17.143612146377563,-0.0239,0.1008,0.0
17.376928567886353,-0.0242,0.10545,0.0
17.57276487350464,-0.02532,0.10428,0.0
17.79748272895813,-0.02506,0.10203,0.0
17.997156620025635,-0.02409,0.10282,0.0
18.191405534744263,-0.02383,0.10096,0.0
18.39738154411316,-0.02337,0.10141,0.0
18.592223644256592,-0.02282,0.10086,0.0
18.79679822921753,-0.02223,0.10064,0.0
18.992732763290405,-0.02118,0.10106,0.0
19.19678258895874,-0.01989,0.10057,0.0
19.41541862487793,-0.01969,0.1015,0.0
19.609172582626343,-0.01981,0.10434,0.0
19.83696699142456,-0.01973,0.10382,0.0
