Timestamp,Error_Yaw,Error_Pitch,Error_Total,P_Yaw,I_Yaw,D_Yaw,Speed_Yaw,P_Pitch,I_Pitch,D_Pitch,Speed_Pitch,Accumulate_Error_X,Accumulate_Error_Y,Accumulate_Error_Total,Controller_Output_X,Controller_Output_Y,Gimbal_Pitch_Angle,Gimbal_Yaw_Angle
1757674165.9069057,0.009375000000000022,-0.047222222222222276,0.04814383549952105,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.009375000000000022,-0.047222222222222276,0.04814383549952105,0.0,0.0,0.0,0.0
1757674166.0030072,0.009375000000000022,-0.047222222222222276,0.04814383549952105,1.0312500000000024,0.027028553187847203,0.7804246810178669,-1.8387032342057164,-5.19444444444445,-0.13614382346471168,-3.931028022904806,-9.261616290813969,0.018750000000000044,-0.09444444444444455,0.0962876709990421,1.8387032342057164,-9.261616290813969,-0.9261616290813969,-0.18387032342057164
1757674166.006364,0.009375000000000022,-0.047222222222222276,0.04814383549952105,1.0312500000000024,0.027972690761089394,0.0,-1.0592226907610918,-5.19444444444445,-0.14089947938919084,0.0,-5.335343923833641,0.028125000000000067,-0.14166666666666683,0.14443150649856315,1.0592226907610918,-5.335343923833641,-1.459696021464761,-0.2897925924966808
1757674166.0378413,0.009375000000000022,-0.047222222222222276,0.04814383549952105,1.0312500000000024,0.03682565689086923,0.0,-1.0680756568908716,-5.19444444444445,-0.18549219767252628,0.0,-5.379936642116976,0.03750000000000009,-0.1888888888888891,0.1925753419980842,1.0680756568908716,-5.379936642116976,-1.9976896856764585,-0.396600158185768
1757674166.0697405,0.009375000000000022,-0.0444444444444444,0.04542245333505561,1.0312500000000024,0.04579731076955806,0.0,-1.0770473107695604,-4.888888888888884,-0.22802448272705098,0.6966385556676927,-4.420274815948242,0.04687500000000011,-0.2333333333333335,0.2379977953331398,1.0770473107695604,-4.420274815948242,-2.439717167271283,-0.504304889262724
1757674166.1083908,0.009375000000000022,-0.04166666666666663,0.0427083333333333,1.0312500000000024,0.05666770040988935,0.0,-1.0879177004098919,-4.5833333333333295,-0.2763373255729677,0.5749563913340564,-4.284714267572241,0.05625000000000013,-0.27500000000000013,0.2807061286664731,1.0879177004098919,-4.284714267572241,-2.8681885940285072,-0.6130966593037132
1757674166.1499627,0.0078125,-0.03888888888888886,0.03966586486214997,0.859375,0.06641110405325902,-0.30068419694319815,-0.6251019071100609,-4.277777777777775,-0.3248378237088523,0.534549683454565,-4.068065918032063,0.06406250000000013,-0.313888888888889,0.32037199352862306,0.6251019071100609,-4.068065918032063,-3.2749951858317137,-0.6756068500147192
1757674166.1819203,0.0078125,-0.036111111111111094,0.03694654925604029,0.859375,0.07390117272734655,0.0,-0.9332761727273465,-3.9722222222222205,-0.3594585855801901,0.695365230942668,-3.6363155768597424,0.07187500000000013,-0.3500000000000001,0.35731854278466335,0.9332761727273465,-3.6363155768597424,-3.638626743517688,-0.7689344672874538
1757674166.2137592,0.0078125,-0.036111111111111094,0.03694654925604029,0.859375,0.08136341348290456,0.0,-0.9407384134829045,-3.9722222222222205,-0.3939507206281027,0.0,-4.366172942850323,0.07968750000000013,-0.3861111111111112,0.39426509204070365,0.9407384134829045,-4.366172942850323,-4.07524403780272,-0.8630083086357443
1757674166.2456803,0.0078125,-0.033333333333333326,0.03423662172821832,0.859375,0.08884493261575711,0.0,-0.9482199326157571,-3.666666666666666,-0.4258718689282736,0.6961598628362368,-3.3963786727587024,0.08750000000000013,-0.4194444444444445,0.428501713768922,0.9482199326157571,-3.3963786727587024,-4.41488190507859,-0.95783030189732
