Timestamp,Error_Yaw,Error_Pitch,P_Yaw,I_Yaw,D_Yaw,Speed_Yaw,P_Pitch,I_Pitch,D_Pitch,Speed_Pitch
1754668765.328015,0.27656000000000003,-0.10833000000000004,30.4216,0.0,0,-30.4216,-11.916300000000003,0.0,0,-11.916300000000003
1754668765.3553793,0.27656000000000003,-0.10833000000000004,30.4216,0.22703574256896975,0.0,-30.64863574256897,-11.916300000000003,-0.08893108906745914,0.0,-12.005231089067463
1754668765.3767824,0.27656000000000003,-0.10972000000000004,30.4216,0.40461276912689215,0.0,-30.826212769126894,-12.069200000000004,-0.15938144831657416,-0.5195515308952788,-12.748132979211858
1754668765.4116528,0.27656000000000003,-0.10972000000000004,30.4216,0.6939253887176515,0.0,-31.115525388717653,-12.069200000000004,-0.2741608112812043,0.0,-12.343360811281208
1754668765.4396005,0.27656000000000003,-0.10833000000000004,30.4216,0.9258015695571901,0.0,-31.347401569557192,-11.916300000000003,-0.36498792536258706,0.3978865602579749,-11.883401365104616
1754668765.467651,0.27656000000000003,-0.10833000000000004,30.4216,1.1585303163528444,0.0,-31.580130316352847,-11.916300000000003,-0.4561489939928056,0.0,-12.372448993992808
1754668765.495178,0.26172,-0.09860999999999998,28.7892,1.3746620467185975,-4.312841758230342,-25.851020288488257,-10.847099999999998,-0.5375823958396913,2.824853227088891,-8.559829168750799
1754668765.5231695,0.26172,-0.09860999999999998,28.7892,1.5944403694152833,0.0,-30.383640369415286,-10.847099999999998,-0.6203897487401964,0.0,-11.467489748740194
1754668765.5513425,0.24062,-0.08472000000000002,26.4682,1.79780976934433,-5.991558614152973,-22.274451155191358,-9.319200000000002,-0.691994168829918,3.944206120880783,-6.066988047949137
1754668765.579359,0.24062,-0.08472000000000002,26.4682,2.000050161552429,0.0,-28.46825016155243,-9.319200000000002,-0.763201076102257,0.0,-10.08240107610226
1754668765.606145,0.24062,-0.08472000000000002,26.4682,2.1934065021514892,0.0,-28.66160650215149,-9.319200000000002,-0.8312799937963489,0.0,-10.15047999379635
1754668765.6274047,0.22813,-0.07638999999999996,25.0943,2.33890634264946,-4.6999535233823035,-22.733252819267157,-8.402899999999995,-0.8800010423898699,3.134556673320646,-6.148344369069219
1754668765.6486423,0.22813,-0.07638999999999996,25.0943,2.4842544338464743,0.0,-27.578554433846474,-8.402899999999995,-0.9286712772846224,0.0,-9.331571277284617
1754668765.6686537,0.20937,-0.06528,23.0307,2.6099481955289843,-7.499715780494197,-18.140932415034783,-7.1808000000000005,-0.9678616520404819,4.441462810303315,-3.707198841737168
1754668765.6900148,0.20937,-0.06528,23.0307,2.7441194798469546,0.0,-25.774819479846954,-7.1808000000000005,-1.0096952549457554,0.0,-8.190495254945755
1754668765.7104073,0.20937,-0.06528,23.0307,2.8722062959671026,0.0,-25.902906295967103,-7.1808000000000005,-1.049631766176224,0.0,-8.230431766176224
1754668765.7381604,0.1875,-0.05139000000000005,20.625,3.028317566156388,-6.304157277092909,-17.34916028906348,-5.652900000000005,-1.0924187431097034,4.0038749235857445,-2.7414438195239637
1754668765.758967,0.1875,-0.05139000000000005,20.625,3.145354415416718,0.0,-23.77035441541672,-5.652900000000005,-1.1244962027549747,0.0,-6.77739620275498
1754668765.8358133,0.16405999999999998,-0.04027999999999998,18.046599999999998,3.5235768357753754,-2.4401936170912504,-19.129983218684124,-4.430799999999998,-1.217357345581055,1.156593476360236,-4.491563869220817
1754668765.8561268,0.16405999999999998,-0.04027999999999998,18.046599999999998,3.6235558267593384,0.0,-21.670155826759338,-4.430799999999998,-1.241904180622101,0.0,-5.672704180622099
1754668765.8770776,0.16405999999999998,-0.04027999999999998,18.046599999999998,3.7266714457511902,0.0,-21.77327144575119,-4.430799999999998,-1.2672211203575134,0.0,-5.698021120357511
1754668765.8981779,0.15000000000000002,-0.03193999999999997,16.500000000000004,3.8216227177619935,-5.330734273285033,-14.990888444476964,-3.5133999999999963,-1.2874394112110137,3.162042947311335,-1.6387964638996748
1754668765.9187467,0.15000000000000002,-0.03193999999999997,16.500000000000004,3.914182532215119,0.0,-20.414182532215122,-3.5133999999999963,-1.3071484810352325,0.0,-4.820548481035229
1754668765.940608,0.14062000000000002,-0.026390000000000025,15.468200000000003,4.006406674718857,-3.432547437208947,-16.042059237509914,-2.9029000000000025,-1.3244560839414596,2.0309848908858705,-2.1963711930555916
1754668765.960972,0.14062000000000002,-0.026390000000000025,15.468200000000003,4.092314439582824,0.0,-19.56051443958283,-2.9029000000000025,-1.3405782992362978,0.0,-4.2434782992363
1754668765.9817827,0.14062000000000002,-0.026390000000000025,15.468200000000003,4.1801060540199275,0.0,-19.64830605401993,-2.9029000000000025,-1.3570540544986724,0.0,-4.2599540544986745
1754668766.0028348,0.12734,-0.018059999999999965,14.0074,4.26052937092781,-5.046522123240359,-13.221407247687452,-1.9865999999999961,-1.3684600942611695,3.165476602906058,-0.189583491355108
1754668766.023442,0.12734,-0.018059999999999965,14.0074,4.339253122615814,0.0,-18.346653122615812,-1.9865999999999961,-1.3796250931262972,0.0,-3.3662250931262934
1754668766.0448506,0.12734,-0.018059999999999965,14.0074,4.421038095474242,0.0,-18.42843809547424,-1.9865999999999961,-1.391224249792099,0.0,-3.377824249792095
1754668766.072984,0.11406,-0.012499999999999956,12.5466,4.5173049373626695,-3.7762953979661056,-13.287609539396563,-1.3749999999999951,-1.4017742719173432,1.5810393383050874,-1.1957349336122507
