Timestamp,YawSpeed,PitchSpeed
1754668296.4956641,-34.5466,-11.458699999999999
1754668296.5183985,-34.760799003934856,-11.529747284722326
1754668296.555477,-35.110144090127946,-11.645620931887626
1754668296.5871398,-35.408465987443925,-11.744570788741111
1754668296.7940466,-30.823852602139773,-8.519376310906189
1754668296.8278184,-22.947686386000193,-4.733910029608593
1754668296.8598819,-25.89983061243491,-6.082830793377718
1754668296.8919203,-28.85318158898354,-7.527478746151924
1754668296.9789279,-19.55216113380856,-1.718499761873066
1754668297.0156937,-24.209384290003772,-4.433354140973094
1754668297.0468385,-22.08290847565974,-4.46190774624348
1754668297.0789464,-16.54577018527835,-0.4867693077699351
1754668297.1108341,-21.757184317922594,-3.276029980015756
1754668297.1430924,-16.30285336592357,-1.801543813171533
1754668297.1751041,-20.313140940237044,-2.8478913569688746
1754668297.2061162,-18.139838227229564,-1.836580474430448
1754668297.2383087,-14.825643226826589,-1.0667985562889166
1754668297.270065,-18.438217778754233,-2.111001701354974
1754668297.3021984,-14.621702773312357,-0.6217371767940705
1754668297.3345177,-17.4504290823698,-1.6614647276401522
1754668297.3663378,-15.008883158569455,-1.161753421754533
1754668297.3983862,-13.212699054888798,-1.0126804324448253
1754668297.4302006,-15.838335878419876,-1.3609815993309016
1754668297.4787095,-11.655049052858711,-0.5946860447939284
1754668297.5106719,-14.307628363752368,-1.0518259470701208
1754668297.542922,-13.2630417310279,-1.5495303744618727
1754668297.5749075,-14.108958660078052,-1.204725947070121
1754668297.6070218,-10.8073234051666,-0.20372053074958973
1754668297.6392303,-11.51955995909551,-0.8935614330530155
1754668297.6712134,-12.742943487286567,-0.8908940394163118
1754668297.7031682,-9.975899133010033,-0.3860045825556975
1754668297.7348964,-11.984228768658639,-0.7300272919893249
1754668297.766952,-10.348041936159785,-0.726017134380339
1754668297.7989054,-8.740508446090203,0.278846888662189
1754668297.8305662,-10.734451253461838,-0.4080726725101461
1754668297.8623028,-9.636860838364981,-0.4014651098251333
1754668297.8944032,-10.461967936277388,-0.39478179841041483
1754668297.9265375,-8.24862378225395,-0.38809143829345627
1754668297.9579434,-7.548592043744999,-0.38155272455215383
1754668297.9898148,-9.164551770806316,-0.3749171159744257
1754668298.0215645,-8.052414525785686,-0.36830682315826346
1754668298.0532668,-8.861882631540299,-0.36170640845298696
1754668298.0847023,-6.598554333467586,0.15278963501160775
1754668301.9805858,-5.6716,-12.222100000000005
1754668302.0073445,-5.712990312004089,-12.311294677400594
1754668302.0432558,-5.768537944316864,-12.430997885823254
1754668302.0750961,-5.817788558101654,-12.53713123915196
1754668302.1070187,-5.8671664030075075,-12.643538771104817
1754668302.1392722,-5.917056122684478,-12.252035660041505
1754668302.1713207,-5.966628686523437,-12.702295127725606
