Time (s),Distance (cm)
10.039109468460083,29.3
10.119051218032837,29.4
10.140291690826416,30.3
10.23952341079712,30.3
10.242568492889404,30.3
10.434140682220459,30.2
10.434609651565552,30.2
10.434609651565552,30.3
10.458707332611084,30.3
10.638640403747559,30.3
10.63924264907837,30.3
10.658754825592041,30.2
10.843131303787231,29.3
10.843131303787231,30.3
10.859410524368286,30.3
10.940860509872437,29.3
10.961651086807251,29.3
11.061146259307861,29.2
11.063204526901245,30.3
11.25257658958435,29.3
11.259591817855835,30.3
11.26060676574707,30.2
11.280215978622437,30.3
11.457333326339722,30.3
11.458313703536987,30.3
11.458313703536987,30.2
11.478726387023926,30.2
11.662529230117798,30.3
11.662529230117798,30.2
11.678849220275879,30.3
11.866648197174072,29.3
11.871596574783325,29.3
11.87260103225708,29.3
11.87260103225708,29.2
12.077150106430054,29.3
12.078133583068848,30.3
12.138448715209961,30.3
12.276119470596313,30.2
12.278543949127197,30.3
12.298714876174927,30.2
12.482239246368408,29.3
12.498775959014893,30.3
12.686540842056274,29.2
12.68755578994751,29.3
12.698191404342651,29.3
12.892621040344238,29.2
12.893733263015747,29.3
12.893733263015747,29.1
12.900189638137817,30.3
13.036978006362915,30.3
13.038088083267212,29.2
13.038088083267212,29.2
13.099196434020996,30.2
13.138981342315674,29.2
13.302753686904907,30.3
13.505960941314697,29.3
13.505960941314697,29.3
13.519720792770386,29.3
13.710766792297363,29.3
13.710766792297363,29.3
13.710766792297363,29.3
13.71911358833313,29.2
13.91474962234497,29.3
13.915762186050415,29.2
13.918756008148193,29.2
14.119480848312378,30.3
14.123894691467285,29.3
14.158866882324219,29.3
14.325455665588379,29.3
14.530188798904419,29.4
14.531191110610962,29.3
14.538270235061646,29.4
14.734532356262207,29.3
14.735565423965454,30.2
14.940140724182129,29.3
14.941332340240479,30.2
14.95946478843689,30.3
14.98024868965149,29.3
15.144387245178223,29.3
15.145386934280396,29.3
15.349435091018677,29.3
15.553874015808105,29.3
15.554877519607544,29.3
15.555854558944702,30.2
15.579628229141235,30.3
15.63870096206665,29.2
15.759543657302856,29.3
15.799562692642212,30.3
15.967058181762695,29.3
16.168103218078613,29.3
16.17882227897644,29.3
16.37337040901184,29.3
16.37849473953247,30.3
16.57764172554016,29.3
16.57864546775818,30.3
16.782323360443115,29.4
16.786911010742188,29.3
16.819647312164307,29.3
16.987006664276123,29.3
16.999382734298706,29.3
17.182390451431274,30.3
17.185457229614258,29.3
17.185457229614258,29.2
17.18653178215027,29.3
17.21885108947754,30.3
17.396780967712402,30.2
17.399029970169067,30.4
17.399029970169067,29.4
17.419186115264893,29.3
17.610483407974243,29.3
17.610483407974243,29.3
17.806376695632935,29.3
17.807358026504517,29.3
17.807358026504517,29.3
18.011041164398193,29.3
18.012070417404175,29.2
18.012070417404175,29.3
18.03913688659668,29.3
18.18667435646057,29.3
18.42133092880249,29.3
18.422332048416138,29.3
18.423331260681152,30.3
18.439380407333374,29.3
18.62575888633728,29.3
18.626959085464478,29.3
18.63897204399109,29.3
18.8309383392334,29.3
18.832236289978027,29.3
18.859559535980225,30.4
19.03629732131958,29.4
19.03629732131958,29.3
19.0588276386261,29.3
19.197116374969482,29.3
19.218512058258057,29.3
19.444857597351074,29.3
19.445836544036865,29.3
19.458799362182617,29.3
19.458799362182617,29.3
19.64966583251953,29.4
19.64966583251953,29.4
19.658266305923462,29.3
19.85529398918152,29.3
19.859707355499268,29.3
20.059399604797363,29.3
20.06040596961975,29.4
20.078632354736328,29.4
20.118789196014404,30.4
20.198827743530273,29.3
20.218581914901733,29.4
20.46965265274048,29.3
20.48086714744568,30.3
20.67381501197815,29.3
20.67926025390625,29.3
20.87888765335083,29.3
20.88092851638794,29.3
20.88092851638794,29.3
20.899491548538208,29.3
20.91930079460144,29.3
21.083993196487427,29.3
21.083993196487427,29.3
21.216511726379395,30.4
21.21750807762146,29.3
21.298980712890625,29.3
21.492591857910156,29.3
21.49361824989319,29.3
21.49361824989319,29.3
21.69867777824402,29.3
21.739211797714233,29.3
21.907278299331665,29.3
21.907278299331665,29.4
21.908258199691772,29.3
22.10681915283203,29.4
22.10785436630249,29.3
22.10785436630249,29.3
22.220356225967407,29.3
22.312097549438477,29.3
22.31911277770996,29.4
22.518353700637817,29.3
22.51939368247986,29.4
22.52040719985962,29.3
22.722718477249146,29.3
22.739147186279297,29.4
22.926695823669434,29.4
22.926695823669434,29.4
22.926695823669434,29.4
23.13239073753357,29.3
23.133325338363647,29.3
23.139307260513306,29.3
23.239370584487915,29.4
23.240370273590088,29.3
23.340065717697144,29.3
23.541457414627075,29.3
23.54345726966858,29.3
23.54345726966858,29.3
23.559070110321045,29.3
23.599029541015625,29.3
23.747021913528442,29.3
23.748125314712524,29.3
23.95198893547058,30.3
23.953426122665405,29.3
23.9594783782959,29.3
24.155457735061646,29.2
24.155457735061646,29.3
24.15677762031555,29.4
24.199016332626343,29.3
24.23951244354248,29.3
24.37917709350586,29.3
24.56476902961731,30.4
24.566068649291992,29.3
24.566068649291992,29.3
24.567076206207275,29.3
24.579058170318604,29.3
24.76947855949402,29.3
24.7705078125,29.3
24.7705078125,29.3
24.975388765335083,29.3
24.976404905319214,29.2
24.978720903396606,29.3
25.18001699447632,29.4
25.18134617805481,29.3
25.1844961643219,29.4
25.21844720840454,29.3
25.25873351097107,29.3
25.398967027664185,29.3
25.79373860359192,29.4
25.79576301574707,29.3
25.79576301574707,29.4
25.798739194869995,29.4
25.799720287322998,29.4
25.81970739364624,29.4
25.998698472976685,29.3
26.01851224899292,29.3
26.20439887046814,29.4
26.205429077148438,29.4
26.205429077148438,29.4
26.219362497329712,29.3
26.27924609184265,30.4
26.40888810157776,29.3
26.419288873672485,29.3
26.420432806015015,29.4
26.61335563659668,29.3
26.61335563659668,30.3
26.618351459503174,29.3
26.818333625793457,29.4
26.82025718688965,30.3
26.995556354522705,29.4
26.99657368659973,29.4
27.019907474517822,29.3
27.227858066558838,29.4
27.239246368408203,29.4
27.279264211654663,29.4
27.318931579589844,29.3
27.441795110702515,29.3
27.641700744628906,29.3
27.678921461105347,29.3
27.846333980560303,29.3
27.846333980560303,29.4
28.047012090682983,30.4
28.04785966873169,29.4
28.04785966873169,29.3
28.059298276901245,29.4
