Time (s),Distance (cm)
6.482921123504639,36.0
6.484213352203369,36.1
6.485254764556885,36.1
6.68852424621582,36.0
6.68852424621582,36.1
6.68852424621582,36.1
6.893291234970093,36.1
6.893291234970093,36.0
6.893291234970093,36.2
6.919082880020142,36.0
7.085945129394531,36.0
7.1187779903411865,36.1
7.303201198577881,36.0
7.319501876831055,36.0
7.359610557556152,36.0
7.512846231460571,35.9
7.712965726852417,36.0
7.718644380569458,36.1
7.71964955329895,36.1
7.9170355796813965,36.0
8.097015380859375,36.0
8.326725721359253,36.1
8.326725721359253,36.2
8.340459108352661,36.0
8.533030271530151,36.1
8.539169311523438,36.0
8.737055540084839,36.1
8.737055540084839,36.1
8.738678216934204,36.1
8.944846391677856,36.2
8.946153402328491,36.0
8.95947813987732,36.1
9.111876010894775,36.1
9.112990856170654,36.2
9.112990856170654,36.1
9.139648199081421,36.1
9.350648403167725,36.0
9.351649761199951,36.2
9.35965085029602,36.1
9.555619716644287,36.1
9.559589862823486,36.1
9.76100492477417,36.2
9.78045654296875,36.0
9.799863576889038,36.1
9.979812145233154,36.1
10.000445127487183,36.1
10.141275644302368,36.1
10.167041778564453,36.2
10.374897241592407,36.2
10.376333236694336,36.2
10.379745244979858,36.1
10.579290866851807,36.1
10.580292701721191,36.1
10.580949544906616,36.2
10.580949544906616,36.1
10.784510374069214,36.1
10.78598666191101,36.1
10.989044427871704,36.1
10.989044427871704,36.1
10.990264415740967,36.1
11.142846822738647,36.2
11.15518593788147,36.1
11.199764251708984,36.1
11.399179458618164,36.2
11.399179458618164,36.2
11.439447402954102,36.1
11.607791900634766,36.1
11.80876636505127,36.0
11.810150384902954,36.1
12.012611389160156,36.1
12.013611316680908,36.2
12.013611316680908,36.1
12.03897762298584,36.1
12.159630537033081,36.2
12.199962854385376,36.1
12.422942876815796,36.1
12.439873218536377,36.1
12.628063440322876,36.2
12.832364797592163,36.0
12.859930753707886,36.1
13.037993669509888,36.1
13.037993669509888,36.1
13.059939861297607,36.1
13.15342926979065,36.1
13.159429550170898,36.1
13.242276906967163,36.1
13.259856939315796,36.2
13.448051929473877,36.1
13.459129333496094,36.1
13.652018547058105,36.1
13.652018547058105,36.2
13.653075456619263,36.1
13.659084796905518,36.1
13.856013298034668,36.2
13.857546091079712,36.1
13.857546091079712,36.1
13.859101295471191,36.1
14.061404705047607,36.2
14.062454462051392,36.2
14.079307794570923,36.2
