Time (s),X (m),Y (m),Error (m),Speed,P,I,D
0.0,3e-05,-9e-05,0.5999858578643762,0.8999787867965643,0.8999787867965643,0.0,0
0.12482738494873047,0.00073,-1e-05,0.5992843185065967,0.9363300249198754,0.8989264777598951,0.037403547159980274,-0.0
0.2223978042602539,0.02398,0.00109,0.576010466865735,0.9295200388485407,0.8640157002986024,0.06550433854993834,-0.0
0.3157081604003906,0.09354,0.00247,0.5064446938971391,0.8487996467720593,0.7596670408457087,0.08913260592635062,-0.0
0.42859411239624023,0.18796,0.00263,0.4120401731752234,0.7304496392938956,0.6180602597628351,0.11238937953106054,-0.0
0.5212476253509521,0.28302,0.00234,0.316989481467561,0.602558696246233,0.4754842222013415,0.12707447404489158,-0.0
0.6293339729309082,0.36555,0.0021,0.2344633795363315,0.49144068851705636,0.35169506930449723,0.13974561921255912,-0.0
0.7286839485168457,0.42104,0.00172,0.17897606623850937,0.41710035247595467,0.26846409935776405,0.14863625311819065,-0.0
0.8296747207641602,0.45789,0.00113,0.14212834789648748,0.3690056007690725,0.21319252184473123,0.15581307892434126,-0.0
0.9200592041015625,0.48865,0.00133,0.11136790752141545,0.3278979055973098,0.16705186128212318,0.16084604431518662,-0.0
1.0172595977783203,0.52341,0.00123,0.07660831015385805,0.27948168849890676,0.11491246523078708,0.1645692232681197,-0.0
1.1194884777069092,0.56022,0.0009,0.03979910746233184,0.22630219355063333,0.05969866119349776,0.16660353235713557,-0.0
1.2214481830596924,0.5893,0.00036,0.010719820458892304,0.18322975791318571,0.016079730688338456,0.16715002722484726,-0.0
0.05357074737548828,0.60542,-0.00082,0.5996958618734851,0.9156068705695027,0.8995437928102277,0.016063077759275093,-0.0
0.15259480476379395,0.60561,-0.00107,0.5993838019798798,0.9448154887315331,0.8990757029698198,0.04573978576171332,-0.0
0.24399447441101074,0.60624,-0.01326,0.587307321007762,0.9535406148341069,0.8809609815116429,0.072579633322464,-0.0
0.35651183128356934,0.60764,-0.07137,0.529197943532691,0.8961485255558465,0.7937969152990365,0.10235161025680996,-0.0
0.4421653747558594,0.60833,-0.16145,0.43912954746131905,0.7798524323405112,0.6586943211919786,0.12115811114853253,-0.0
0.5443553924560547,0.60992,-0.2572,0.34336659122397956,0.6537523170019189,0.5150498868359693,0.13870243016594963,-0.0
0.6516656875610352,0.61191,-0.34773,0.25281515226035567,0.5314899928545178,0.3792227283905335,0.1522672644639843,-0.0
0.7533924579620361,0.61169,-0.4151,0.18545919356473478,0.4398891372123438,0.2781887903471022,0.1617003468652416,-0.0
0.8505773544311523,0.61159,-0.45851,0.14205541590712095,0.38168629116982844,0.21308312386068143,0.16860316730914698,-0.0
0.9511516094207764,0.61068,-0.48984,0.11073930946784616,0.34028089328481326,0.16610896420176924,0.17417192908304402,-0.0
1.0568270683288574,0.61036,-0.52059,0.0799943981070973,0.29839024860871155,0.11999159716064595,0.17839865144806563,-0.0
1.154890537261963,0.60997,-0.55514,0.04544948489790401,0.24880134587007727,0.06817422734685602,0.18062711852322125,-0.0
1.257030725479126,0.60919,-0.58807,0.012526450212437146,0.2000565208330726,0.01878967531865572,0.18126684551441688,-0.0
0.07553315162658691,0.60734,-0.61962,0.5997558688876853,0.9222845288233423,0.8996338033315279,0.022650725491814457,-0.0
0.17694926261901855,0.60708,-0.61979,0.5996110269932244,0.9524723752145665,0.8994165404898367,0.05305583472472984,-0.0
0.26361536979675293,0.58912,-0.61924,0.5819191040045024,0.9511508224496962,0.8728786560067536,0.07827216644294252,-0.0
0.37464070320129395,0.52224,-0.62188,0.5150043930546997,0.8793680232468427,0.7725065895820495,0.10686143366479318,-0.0
0.47129058837890625,0.42742,-0.62473,0.4201415987505727,0.7573771504294429,0.630212398125859,0.12716475230358384,-0.0
0.5889253616333008,0.33112,-0.6264,0.3238317780772017,0.6319593583127259,0.48574766711580253,0.14621169119692337,-0.0
0.6909584999084473,0.24624,-0.6255,0.23898879795773653,0.5168872766676446,0.3584831969366048,0.15840407973103976,-0.0
0.7925400733947754,0.18452,-0.62407,0.1772944229135367,0.4333506373262986,0.26594163437030505,0.16740900295599354,-0.0
0.8971307277679443,0.14272,-0.62407,0.13549672455406736,0.37773993533036004,0.20324508683110104,0.174494848499259,-0.0
0.9940445423126221,0.10989,-0.62365,0.1026720106408649,0.33347803255964537,0.15400801596129735,0.179470016598348,-0.0
1.0938060283660889,0.07702,-0.62295,0.06980824855529866,0.28766447673862916,0.10471237283294799,0.18295210390568117,-0.0
1.195539951324463,0.04212,-0.62238,0.034912247522564055,0.23709635513940935,0.05236837128384608,0.18472798385556327,-0.0
1.2974631786346436,0.01162,-0.62167,0.004415749956397819,0.19157664253343543,0.006623624934596728,0.1849530175988387,-0.0
0.05382084846496582,-0.01643,-0.62195,0.59966,0.9156271049952506,0.8994899999999999,0.0161371049952507,-0.0
0.14401745796203613,-0.01623,-0.62157,0.599264065220281,0.9420589962638224,0.8988960978304215,0.04316289843340098,-0.0
0.24687433242797852,-0.01529,-0.60197,0.5798085859831461,0.9426944268794921,0.8697128789747192,0.07298154790477299,-0.0
0.3529078960418701,-0.01494,-0.53477,0.5126416592419475,0.8691226477608751,0.7689624888629212,0.10016015889795397,-0.0
0.4527430534362793,-0.013,-0.44177,0.419621430042258,0.7505387897185088,0.629432145063387,0.12110664465512191,-0.0
0.5486660003662109,-0.01049,-0.347,0.32481924177006843,0.6239143167552901,0.4872288626551027,0.13668545410018737,-0.0
0.6722629070281982,-0.00989,-0.26202,0.23984504209993157,0.5112750698909675,0.35976756314989733,0.1515075067410702,-0.0
0.7726178169250488,-0.00943,-0.2033,0.18112638409658688,0.43228554386392815,0.2716895761448803,0.16059596771904786,-0.0
0.873037576675415,-0.00917,-0.16396,0.14178762991381383,0.3803965524555281,0.21268144487072074,0.16771510758480737,-0.0
0.96828293800354,-0.00901,-0.13009,0.10791943870947307,0.3347336786161231,0.1618791580642096,0.17285452055191347,-0.0
1.0728614330291748,-0.00879,-0.09433,0.07216027811465342,0.28486814436682445,0.10824041717198013,0.17662772719484432,-0.0
1.162816047668457,-0.00889,-0.05891,0.036745434461468385,0.2333985895854141,0.05511815169220258,0.17828043789321152,-0.0
1.2638487815856934,-0.00835,-0.03141,0.009240561311120499,0.19260807944598843,0.013860841966680748,0.17874723747930768,-0.0
