Time (s),X (m),Y (m),Error (m),Speed,P,I,D
0.05922651290893555,-0.00937,-0.04326,0.5995821483516844,0.9171288024521858,0.8993732225275266,0.017755579924659173,-0.0
0.15279936790466309,-0.00863,-0.04321,0.5988524373655438,0.944052402115697,0.8982786560483158,0.045773746067381195,-0.0
0.2747828960418701,0.01028,-0.04274,0.5799488030282479,0.951069051175921,0.8699232045423719,0.0811458466335491,-0.0
0.37876272201538086,0.07727,-0.04095,0.512935239620154,0.8772161645394723,0.7694028594302309,0.10781330510924142,-0.0
0.47974681854248047,0.1703,-0.04226,0.4199363276504669,0.758921241908287,0.6299044914757004,0.12901675043258665,-0.0
0.5760314464569092,0.26733,-0.04343,0.3229099992782128,0.6289273839150814,0.4843649989173192,0.14456238499776222,-0.0
0.6828248500823975,0.35559,-0.04325,0.2346499649651036,0.5090668666550301,0.3519749474476554,0.15709191920737473,-0.0
0.77406907081604,0.41879,-0.04276,0.17144950705896972,0.42208806812921074,0.2571742605884546,0.16491380754075616,-0.0
0.8768143653869629,0.4617,-0.04242,0.12853896057044117,0.364325635080243,0.19280844085566176,0.17151719422458125,-0.0
0.9790925979614258,0.49371,-0.04268,0.09652947077311469,0.32124783221526454,0.14479420615967203,0.17645362605559248,-0.0
1.069488763809204,0.52445,-0.04269,0.06578951479777184,0.27811145819760236,0.09868427219665776,0.1794271860009446,-0.0
1.1796355247497559,0.55827,-0.04231,0.031968934916407954,0.22914122569143736,0.04795340237461193,0.18118782331682542,-0.0
1.279022455215454,0.58869,-0.04202,0.0015483857486888741,0.18358734659322826,0.002322578623033311,0.18126476797019495,-0.0
0.09876775741577148,0.61267,-0.0446,0.5997436798876404,0.9292331889748529,0.8996155198314606,0.02961766914339229,-0.0
0.19772768020629883,0.61289,-0.04462,0.5995270306563846,0.958572789460264,0.8992905459845768,0.05928224347568726,-0.0
0.2834291458129883,0.61372,-0.05388,0.5905416174744303,0.9703998107469847,0.8858124262116456,0.08458738453533908,-0.0
0.38905906677246094,0.61747,-0.10777,0.5365395461724389,0.9177340187209105,0.8048093192586584,0.11292469946225211,-0.0
0.4856584072113037,0.61994,-0.19729,0.44703553190364764,0.8050696660850334,0.6705532978554715,0.13451636822956192,-0.0
0.5870945453643799,0.62233,-0.29113,0.35318137347436673,0.6822011057375316,0.5297720602115501,0.15242904552598147,-0.0
0.6941416263580322,0.6252,-0.38465,0.2596203700278173,0.5557554019566924,0.38943055504172597,0.16632484691496635,-0.0
0.7958242893218994,0.6271,-0.46109,0.18316177562512337,0.45037969890202784,0.27474266343768505,0.17563703546434278,-0.0
0.8879902362823486,0.62811,-0.51159,0.13265688322175961,0.3807355839284598,0.19898532483263942,0.18175025909582038,-0.0
0.9978883266448975,0.62819,-0.54678,0.09748280576680757,0.3333310548445094,0.14622420865021135,0.18710684619429807,-0.0
1.108665943145752,0.62829,-0.593,0.05128074600940058,0.26686834461605247,0.07692111901410087,0.18994722560195162,-0.0
1.2170345783233643,0.62888,-0.62609,0.018187402250518403,0.21821380095738668,0.027281103375777604,0.19093269758160908,-0.0
0.04946112632751465,0.63182,-0.66487,0.5997806828780053,0.9145039383793241,0.8996710243170081,0.014832914062316013,-0.0
0.1526327133178711,0.63188,-0.66507,0.599572799812734,0.9451215524178826,0.899359199719101,0.04576235269878154,-0.0
0.24113893508911133,0.62027,-0.66661,0.5883769539276487,0.9543652941749582,0.882565430891473,0.07179986328348517,-0.0
0.3373072147369385,0.56351,-0.66931,0.5316223867044191,0.8947960485159316,0.7974335800566286,0.0973624684593031,-0.0
0.44800448417663574,0.47423,-0.67047,0.4423932425306579,0.7854381942386488,0.663589863795987,0.1218483304426619,-0.0
0.5458798408508301,0.37707,-0.67031,0.34527755261854126,0.6566617411775402,0.5179163289278119,0.13874541224972822,-0.0
0.6411538124084473,0.28489,-0.67223,0.25307761790279365,0.5304176939888888,0.3796164268541905,0.15080126713469835,-0.0
0.7363851070404053,0.21485,-0.67319,0.1830329451863133,0.4340659170793647,0.27454941777946995,0.15951649929989475,-0.0
0.838355541229248,0.17111,-0.67389,0.1392877331782883,0.37554971438201207,0.20893159976743245,0.16661811461457962,-0.0
0.9357900619506836,0.13945,-0.67483,0.1076151667648565,0.33328358085990994,0.16142275014728474,0.1718608307126252,-0.0
1.037691354751587,0.1096,-0.67597,0.07774773633807963,0.2924437326423417,0.11662160450711945,0.17582212813522224,-0.0
1.1389775276184082,0.07573,-0.67666,0.04387073436115585,0.24384997906910524,0.06580610154173377,0.17804387752737147,-0.0
1.244109869003296,0.04324,-0.67716,0.011377472228593755,0.1957081560174789,0.017066208342890632,0.17864194767458827,-0.0
0.02351665496826172,0.02037,-0.6789,0.5997136435787345,0.9066220947860018,0.8995704653681017,0.0070516294179000915,-0.0
0.12361693382263184,0.02065,-0.67889,0.5994377722881251,0.9362102319310297,0.8991566584321877,0.03705357349884196,-0.0
0.2246561050415039,0.02067,-0.66666,0.5878061982958553,0.9484585964991896,0.881709297443783,0.06674929905540655,-0.0
0.31568002700805664,0.01784,-0.60942,0.5305435467361023,0.8867106963585425,0.7958153201041533,0.0908953762543891,-0.0
0.4113476276397705,0.01827,-0.51953,0.4406796042560778,0.7729941628317618,0.6610194063841166,0.11197475644764518,-0.0
0.518723726272583,0.01568,-0.42536,0.34648164070426773,0.6502991409174069,0.5197224610564016,0.13057667986100527,-0.0
0.6304488182067871,0.01339,-0.33533,0.25642466604833225,0.5295382136277273,0.3846369990724984,0.14490121455522903,-0.0
0.7235550880432129,0.01147,-0.26687,0.1879398280590564,0.4355601448159526,0.2819097420885846,0.15365040272736802,-0.0
0.8177680969238281,0.01087,-0.2224,0.14346688838595723,0.375608958921094,0.21520033257893584,0.16040862634215822,-0.0
0.9200985431671143,0.01074,-0.19155,0.1126203055111959,0.33510132766846,0.16893045826679384,0.16617086940166617,-0.0
