timestamp,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
0.14746403694152832,0.21675,0.00608,-1.01743,0.00933,0.03248,-0.0429
0.3582005500793457,-0.17058,0.03615,-1.03028,0.02603,-0.05492,-0.04846
0.5475890636444092,0.09719,-0.02041,-1.01468,-0.05052,-0.01314,0.05278
0.755669116973877,0.11918,-0.02607,-1.03354,0.02392,0.01182,0.0547
0.9829938411712646,-0.05357,0.02605,-0.98942,0.03395,0.02712,-0.0289
1.1837539672851562,-0.07866,-0.00806,-0.98935,0.01004,-0.00368,0.02805
1.3758599758148193,0.04174,-0.00928,-1.03701,-0.03586,-0.05591,0.05245
1.571606159210205,-0.06449,0.01419,-1.01119,-0.02316,0.00143,0.01026
1.7793171405792236,-0.03301,-0.00888,-1.02256,0.00403,0.00687,0.02907
2.0031368732452393,-0.02179,-0.00385,-1.01978,-0.00268,0.00605,0.02383
2.1949617862701416,-0.02026,0.00264,-1.01881,-0.00357,0.00359,0.01357
2.4030871391296387,-0.02846,0.0025,-1.01548,-0.0014,0.0061,0.01074
2.601163625717163,-0.01447,0.00717,-1.01488,0.00387,0.00664,0.01035
2.8111870288848877,-0.00284,0.00621,-1.01486,-0.00627,0.00785,0.01047
2.9932217597961426,0.05883,0.04655,-1.0174,0.01217,-0.00173,0.46089
3.2005903720855713,0.00898,-0.01435,-1.0165,-0.00202,0.00145,0.5001
3.39658522605896,0.0051,0.00943,-1.02311,-0.01365,-0.00511,0.49074
3.5959110260009766,0.01593,-4e-05,-1.01031,-0.00714,0.00078,0.50088
3.7876734733581543,-0.02529,-0.00694,-1.01597,0.00086,-0.00598,0.53235
3.9924514293670654,0.03109,0.031,-1.0138,-0.00065,-1e-05,0.53658
4.216601371765137,-0.0125,-0.01303,-1.02358,-0.02068,0.00651,0.55454
4.42113471031189,0.00261,-0.01988,-1.00132,0.02041,0.01553,0.54718
4.621356725692749,-0.00221,-0.03551,-1.00513,0.0089,0.00076,0.54562
4.811816692352295,0.0082,0.00346,-1.01722,0.0047,0.00249,0.53768
5.034502267837524,0.00838,-0.01541,-1.01194,0.00033,0.00728,0.52443
5.253140211105347,-0.01348,-0.01328,-1.02499,-0.01644,-0.0042,0.54517
5.43999981880188,0.02512,0.01654,-1.01551,-0.00996,-0.0004,0.48995
5.648475408554077,-0.00045,0.00487,-1.01746,-0.00938,0.00172,0.53045
5.861688137054443,0.01358,0.01213,-1.0129,0.00681,0.00656,0.52122
6.083627700805664,0.00329,0.0145,-1.00775,-0.01191,0.01651,0.47589
6.273793458938599,-0.00207,0.00621,-1.01699,-0.00247,0.00631,0.00103
6.4758124351501465,-0.00183,-0.00135,-1.01709,0.00084,0.00694,0.0056
6.679582118988037,-0.00486,-0.00226,-1.01533,0.00039,0.00362,0.00875
6.880129098892212,-0.0027,-0.00079,-1.01589,0.00177,0.00359,0.00833
7.085677146911621,-0.00245,-0.00032,-1.01878,0.00061,0.00292,0.00915
7.269980430603027,0.24404,-0.0109,-1.02057,0.00177,-0.01772,0.01336
7.48269510269165,0.07982,-0.02202,-1.01535,0.02337,0.04325,0.00826
7.677657604217529,-0.14035,0.00742,-1.02363,-0.01718,-0.00261,0.0159
7.879898548126221,-0.04834,-0.04044,-0.99119,0.01264,0.01863,0.04037
8.091384649276733,0.11306,0.02064,-1.01496,0.01171,0.00987,-0.02056
8.302422046661377,0.05209,0.00714,-1.02546,0.01325,-0.00503,0.00328
8.49290132522583,-0.0837,-0.01067,-1.01024,-0.00678,0.00079,0.01337
8.72516942024231,-0.03693,-0.00875,-1.0265,0.01622,0.00455,0.03067
8.914597511291504,-0.02227,0.0034,-1.01032,-0.01871,0.0076,0.00919
9.116600513458252,-0.00879,-0.00697,-1.01386,-0.01111,0.00213,0.02015
9.309271812438965,-0.0128,0.00327,-1.01517,0.00163,0.00304,-0.00728
9.530606031417847,-0.00679,-0.00095,-1.01612,0.00067,0.0065,0.00829
9.740386724472046,-0.01743,-0.04162,-1.00832,0.0116,0.0067,0.12544
9.93407416343689,0.00656,-0.02532,-1.01835,-0.01125,0.00631,0.50934
10.131372451782227,-0.0155,-0.01454,-1.01691,-0.00512,0.00374,0.49038
10.350154638290405,0.01151,0.05098,-1.01884,0.00058,-0.01999,0.44117
10.557354927062988,0.00769,-0.01037,-1.01497,-0.01194,-0.00376,0.52851
10.749952793121338,0.00545,0.04302,-1.03033,0.00207,0.01209,0.50706
10.963115692138672,-0.01864,-0.04356,-1.01701,-0.00447,-0.00676,0.6017
11.183990716934204,-0.00182,0.0052,-1.01316,-0.00109,-0.00228,0.529
11.38294243812561,-0.00413,-0.00211,-1.0183,0.00423,-0.02619,0.5168
11.570886850357056,-0.00412,-0.01035,-1.02237,-0.01198,-0.0041,0.53366
11.777257442474365,-0.01449,0.0022,-1.01421,0.0079,0.0015,0.49021
11.967844247817993,-0.00592,-0.00392,-1.01178,0.01963,0.00323,0.47028
12.20096230506897,0.00858,0.01617,-1.01641,-0.00873,0.0051,0.52278
12.405645847320557,-0.00756,0.00308,-1.01598,-0.00326,0.01088,0.50311
12.610750436782837,-0.00369,0.00704,-1.02262,-0.00275,-0.01349,0.52992
12.815908908843994,-0.02702,-0.01259,-1.01324,0.00271,0.00388,0.53484
13.019002914428711,-0.0072,-0.00271,-1.01794,0.00265,0.00716,-0.01647
13.211711168289185,-0.01103,0.00268,-1.01801,-0.00046,0.00545,0.00942
13.421117067337036,-0.00874,0.00478,-1.01514,0.00135,0.00567,0.00925
13.62091612815857,-0.01408,0.00346,-1.01641,0.00175,0.00398,0.01082
13.835190773010254,-0.01687,0.00331,-1.01759,-0.00198,0.00697,0.00977
14.030796766281128,0.25047,-0.00113,-1.01376,-3e-05,0.02786,0.05934
14.24266767501831,-0.19521,0.00411,-1.01879,-0.01063,0.01263,0.00328
14.43065881729126,-0.05861,0.01357,-1.01677,0.01475,-0.00534,-0.00758
14.639791011810303,0.13585,-0.0125,-1.01441,0.0012,0.00307,0.02571
14.861566543579102,0.01709,-0.00603,-0.97903,-0.06455,0.04618,0.02707
15.057002782821655,-0.12747,-0.03624,-1.02456,0.02557,-1e-05,0.07906
15.253203630447388,-0.03826,-0.01287,-1.03185,-0.01166,-0.02826,0.03624
15.452073335647583,-0.00278,0.0364,-1.00979,0.0092,0.02346,-0.02092
15.653248071670532,-0.15325,-0.01182,-1.02104,-0.0037,-0.00675,0.02057
15.860844135284424,-0.02423,0.00032,-1.01049,0.00132,0.01075,0.01212
16.078343629837036,-0.01355,0.00752,-1.01096,0.00548,0.00902,-0.00257
16.28131651878357,-0.02389,0.00045,-1.01764,0.00152,0.00333,0.01512
16.476287364959717,-0.02264,0.00454,-1.01749,-0.00038,0.00096,0.01285
16.676826238632202,-0.02173,0.00171,-1.01573,0.00401,0.00929,0.00996
16.901049375534058,0.01961,0.04862,-1.00955,0.00029,-0.00581,0.45125
17.09109926223755,-0.02366,-0.01711,-1.01187,0.02443,0.01188,0.51093
17.29183578491211,0.01159,0.01546,-1.01314,0.00292,0.00745,0.47268
17.499894618988037,0.00937,-0.01042,-1.01643,-0.01061,0.01276,0.51023
17.69028663635254,-0.00734,0.01699,-1.0143,0.00138,-0.00279,0.50667
17.921688079833984,0.01477,-0.00187,-1.02156,0.00956,0.0034,0.5464
18.09423041343689,-0.01473,0.00576,-1.01483,-0.00025,0.00435,0.53871
18.296377420425415,-0.00345,0.0002,-1.0158,-0.01266,-0.00377,0.55764
18.50301432609558,-0.01675,0.02617,-1.01952,-0.00337,-0.00389,0.51521
18.711386919021606,0.00589,-0.00027,-1.0097,-0.00217,0.00674,0.55565
18.91508173942566,-0.00959,0.01785,-1.0072,0.01366,0.00452,0.53498
19.119423627853394,-0.01524,0.00349,-1.01741,-0.00387,-0.00297,0.51495
19.32249689102173,0.00548,0.00316,-1.01485,-0.00319,-0.00071,0.50607
19.51543951034546,0.01458,0.0366,-1.01849,0.0017,0.00047,0.49787
19.739999532699585,0.01135,0.06592,-1.01587,0.00186,0.00229,0.36387
19.927268028259277,0.00117,0.00272,-1.0168,0.0002,0.00115,0.01271
20.141929149627686,-0.01043,0.00984,-1.01588,0.00027,0.00656,0.00741
20.338900327682495,-0.00885,0.01214,-1.01644,0.00204,0.0057,0.00886
20.541123151779175,-0.00699,0.01215,-1.01507,4e-05,0.00394,0.00901
20.748817205429077,-0.00794,0.01166,-1.01643,-0.00029,0.00536,0.01044
20.955565452575684,0.21618,0.07941,-1.01945,0.01548,-0.04482,-0.0491
21.159489393234253,0.13943,0.01191,-1.02024,0.02402,0.00329,-0.03303
21.351243257522583,-0.12267,-0.0135,-1.0081,0.0003,0.01275,0.04308
21.556509017944336,-0.09758,-0.00616,-1.02484,0.0165,-0.00796,0.02638
21.760289669036865,0.06801,-0.02431,-1.0378,0.01811,-0.00922,0.02779
21.952902793884277,0.05978,-0.00344,-1.01809,-0.02141,0.03075,0.04052
22.161197662353516,-0.05291,0.02358,-1.04255,-0.00265,-0.01483,-0.0245
22.35209822654724,-0.18919,0.00948,-1.01225,-0.0055,-0.00199,-0.00598
22.57372522354126,-0.05185,0.00596,-1.03291,-0.03232,-0.05142,0.00783
22.78170919418335,-0.01057,0.01236,-1.01564,-0.01286,0.01518,0.00959
22.97417950630188,-0.02488,0.00769,-1.01494,0.00267,0.00622,0.01504
